id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9611121,Penthouse in Crown Heights,1192413,Yoav,Brooklyn,Crown Heights,40.66909,-73.95144,Entire home/apt,99,1,0,,,1,0
9611372,Bright space in beautiful area,5238157,Jessica,Brooklyn,Carroll Gardens,40.68002,-73.99626,Entire home/apt,125,1,5,2016-09-05,0.12,1,0
9611586,Modern Minimal Central Chelsea Loft,8797100,Adam,Manhattan,Chelsea,40.74361,-73.99503,Entire home/apt,235,4,107,2019-06-23,2.98,1,27
9612260,Lovely Brooklyn Apt,8871082,Houston,Brooklyn,Carroll Gardens,40.6776,-74.0014,Entire home/apt,110,5,1,2016-07-02,0.03,1,0
9612938,Studio apt in Historic House Museum,49736436,George,Manhattan,Washington Heights,40.83549,-73.93968,Entire home/apt,120,3,10,2019-07-01,0.70,2,244
9613369,Beautiful studio - Upper West Side,49737913,Jacqueline,Manhattan,Upper West Side,40.78095,-73.98178,Entire home/apt,195,3,1,2015-12-22,0.02,1,0
9613465,Central Park - Cozy Room for 2,37626481,Lugao,Manhattan,Upper West Side,40.79622,-73.97059,Private room,109,1,113,2019-06-30,2.58,2,197
9613541,Open Room for December,49738780,Katie,Queens,Astoria,40.77211,-73.92055,Private room,100,1,0,,,1,0
9613626,Clean & Simple Brooklyn Bedroom,7371085,Alisha,Brooklyn,Williamsburg,40.70436,-73.93225,Private room,55,7,2,2016-01-02,0.05,1,0
9614378,"Hip, Young & Fabulous Midtown",49742527,Lumduan,Manhattan,Midtown,40.75246,-73.97171,Entire home/apt,150,4,76,2019-06-21,1.79,1,299
9614552,Huge brownstone apt. on cute block!,766920,Archie,Brooklyn,Carroll Gardens,40.68316,-73.99775,Entire home/apt,100,2,4,2016-04-18,0.09,1,0
9614672,Beautiful Apartment Hells Kitchen,7534128,Kevin,Manhattan,Hell's Kitchen,40.76406,-73.98705,Entire home/apt,450,1,0,,,1,0
